PS9855,PS9496,RB1281,CX15050,BZ1202,N2,CHS1041,VC40271,PS8888,VC20231,VC2526,PS8400,CHS1126,VC40776,PS8490,CHS1026,CHS1079,CHS1025,CHS1083,VC40166,PHX2457,VC40471,VC158
65,123,38,180,101,94,58,67,87,42,139,99,165,91,78,142,52,64,57,63,106,48,119
114,77,74,134,85,64,89,21,91,100,111,59,108,99,102,100,27,39,92,66,101,27,92
57,52,62,166,108,64,41,142,66,37,101,71,97,125,140,162,76,85,68,103,70,32,86
107,88,57,178,106,69,93,31,65,114,163,158,60,101,92,98,95,163,62,92,91,42,128
86,83,67,136,96,79,81,99,71,37,154,135,84,86,123,95,97,71,104,85,96,13,95
82,107,77,,106,61,43,58,113,40,50,,137,77,68,83,110,43,110,97,,60,
127,72,79,,143,107,36,45,78,78,67,,119,39,133,95,13,102,39,35,,47,
103,131,16,,140,93,72,74,107,64,71,,156,2,98,106,62,144,93,37,,19,
172,106,22,,187,121,48,106,145,117,24,,121,153,133,119,45,139,88,106,,39,
134,68,65,,169,20,18,18,57,39,117,,139,126,102,118,65,88,73,52,,47,
117,92,83,,162,91,45,6,121,88,57,,46,,95,127,,53,,,,24,
106,46,72,,82,109,61,62,89,65,162,,84,,60,74,,33,,,,44,
92,102,70,,114,146,41,91,77,88,120,,82,,113,57,,33,,,,95,
11,110,9,,114,159,46,29,107,65,63,,125,,56,60,,121,,,,73,
108,92,30,,101,71,61,99,95,83,53,,92,,88,87,,68,,,,66,
,,,,,96,,,,,,,,,,,,,,,,,
,,,,,106,,,,,,,,,,,,,,,,,
,,,,,87,,,,,,,,,,,,,,,,,
,,,,,114,,,,,,,,,,,,,,,,,
,,,,,85,,,,,,,,,,,,,,,,,
,,,,,90,,,,,,,,,,,,,,,,,
,,,,,102,,,,,,,,,,,,,,,,,
,,,,,54,,,,,,,,,,,,,,,,,
,,,,,95,,,,,,,,,,,,,,,,,
,,,,,53,,,,,,,,,,,,,,,,,
,,,,,74,,,,,,,,,,,,,,,,,
,,,,,47,,,,,,,,,,,,,,,,,
,,,,,19,,,,,,,,,,,,,,,,,
,,,,,65,,,,,,,,,,,,,,,,,
,,,,,45,,,,,,,,,,,,,,,,,
,,,,,79,,,,,,,,,,,,,,,,,
,,,,,80,,,,,,,,,,,,,,,,,
,,,,,126,,,,,,,,,,,,,,,,,
,,,,,100,,,,,,,,,,,,,,,,,
,,,,,142,,,,,,,,,,,,,,,,,
